Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026;Opptaksgrense 2026 førstegangsvitnemål;Opptaksgrense ordinær kvote
UiT Norges arktiske universitet;186369;Økonomi og administrasjon, Tromsø;Tromsø;Økonomisk-administrative fag;Alle søkere;1136;908;1014;1032;1047;1120;40,3;38,6
UiT Norges arktiske universitet;186369;Økonomi og administrasjon, Tromsø;Tromsø;Økonomisk-administrative fag;Førstevalgssøkere;242;168;202;190;193;186;40,3;38,6
UiT Norges arktiske universitet;186369;Økonomi og administrasjon, Tromsø;Tromsø;Økonomisk-administrative fag;Studieplasser;140;130;130;130;140;140;40,3;38,6
UiT Norges arktiske universitet;186369;Økonomi og administrasjon, Tromsø;Tromsø;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);32,6 %;32,1 %;35,6 %;33,7 %;27,5 %;30,1 %;40,3;38,6
UiT Norges arktiske universitet;186369;Økonomi og administrasjon, Tromsø;Tromsø;Økonomisk-administrative fag;Antall kvalifiserte;1080;846;936;979;990;1051;40,3;38,6
UiT Norges arktiske universitet;186369;Økonomi og administrasjon, Tromsø;Tromsø;Økonomisk-administrative fag;Antall tilbud;220;230;220;300;300;300;40,3;38,6
UiT Norges arktiske universitet;186468;Økonomi og administrasjon, Alta;Alta;Økonomisk-administrative fag;Alle søkere;1951;1489;1911;2523;1827;1813;0;45,8
UiT Norges arktiske universitet;186468;Økonomi og administrasjon, Alta;Alta;Økonomisk-administrative fag;Førstevalgssøkere;605;483;650;809;538;469;0;45,8
UiT Norges arktiske universitet;186468;Økonomi og administrasjon, Alta;Alta;Økonomisk-administrative fag;Studieplasser;300;300;300;300;350;350;0;45,8
UiT Norges arktiske universitet;186468;Økonomi og administrasjon, Alta;Alta;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);55,2 %;54,5 %;52,6 %;53,2 %;53,7 %;52,9 %;0;45,8
UiT Norges arktiske universitet;186468;Økonomi og administrasjon, Alta;Alta;Økonomisk-administrative fag;Antall kvalifiserte;1806;1380;1780;2368;1742;1725;0;45,8
UiT Norges arktiske universitet;186468;Økonomi og administrasjon, Alta;Alta;Økonomisk-administrative fag;Antall tilbud;500;500;500;500;600;550;0;45,8
Universitetet i Agder;201345;Økonomi og administrasjon - siviløkonom;Kristiansand;Økonomisk-administrative fag;Alle søkere;1046;873;937;1074;1051;1156;45,6;46,5
Universitetet i Agder;201345;Økonomi og administrasjon - siviløkonom;Kristiansand;Økonomisk-administrative fag;Førstevalgssøkere;206;135;154;172;178;199;45,6;46,5
Universitetet i Agder;201345;Økonomi og administrasjon - siviløkonom;Kristiansand;Økonomisk-administrative fag;Studieplasser;100;100;100;100;100;100;45,6;46,5
