Studiekode;Studienavn;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;2020;2021;2022;2023;2024;2025;2026;Kolonne1
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2024;52,2;;;;;52,2;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2023;52,8;;;;52,8;;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2022;52,3;;;52,3;;;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2021;53,7;;53,7;;;;;;
215369;Økonomi og administrasjon ;OSLOMET;;ØKADM;Ordinær kvote;Hovedopptak;2020;53,6;53,6;;;;;;;
215369;Økonomi og administrasjon ;OSLOMET;Oslo;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;47,8;;;;;;;47,8;
215369;Økonomi og administrasjon ;OSLOMET;Oslo;ØKADM;Ordinær kvote;Hovedopptak;2026;52,8;;;;;;;52,8;
217369;Økonomi og administrasjon;UIS;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;44,9;;;;;;44,9;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;45;;;;;45;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;46,1;;;;46,1;;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;43,6;;;43,6;;;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;43,5;;43,5;;;;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;43,2;43,2;;;;;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Ordinær kvote;Hovedopptak;2025;46,3;;;;;;46,3;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Ordinær kvote;Hovedopptak;2024;46,1;;;;;46,1;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Ordinær kvote;Hovedopptak;2023;48;;;;48;;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Ordinær kvote;Hovedopptak;2022;46,5;;;46,5;;;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Ordinær kvote;Hovedopptak;2021;46,5;;46,5;;;;;;
217369;Økonomi og administrasjon;UIS;;ØKADM;Ordinær kvote;Hovedopptak;2020;46,4;46,4;;;;;;;
217369;Økonomi og administrasjon;UIS;Stavanger;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;46,3;;;;;;;46,3;
217369;Økonomi og administrasjon;UIS;Stavanger;ØKADM;Ordinær kvote;Hovedopptak;2026;48;;;;;;;48;
222097;Økonomi og administrasjon, Hønefoss;USN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
222097;Økonomi og administrasjon, Hønefoss;USN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;;;0;;;
222097;Økonomi og administrasjon, Hønefoss;USN;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;;;;;0;;
222097;Økonomi og administrasjon, Hønefoss;USN;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;;;;0;;;
222097;Økonomi og administrasjon, Hønefoss;USN;Ringerike;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;;;;;0;
222097;Økonomi og administrasjon, Hønefoss;USN;Ringerike;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;;;;;;0;
222164;Økonomi og administrasjon, Bø;USN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
222164;Økonomi og administrasjon, Bø;USN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;;;0;;;
