Kvote;Lærested;Measure Names;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Measure Values
Ordinær kvote;UIA;Søkere på venteliste;Suppleringsopptak;201 479;Anvendt filosofi;Kristiansand;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIT;Poenggrense;Hovedopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2020;0
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Hovedopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2020;0
Ordinær kvote;UIT;Poenggrense;Hovedopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2020;0
Ordinær kvote;UIT;Søkere på venteliste;Hovedopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2020;0
Førstegangsvitnemålskvote;UIT;Poenggrense;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2020;0
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2020;0
Ordinær kvote;UIT;Poenggrense;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2020;0
Ordinær kvote;UIT;Søkere på venteliste;Suppleringsopptak;186 953;Anvendt fysikk og matematikk;Tromsø;TEKNO - SIVING;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2020;0
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2020;0
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 555;Anvendt matematikk;Bergen;REALFAG;2020;0
Førstegangsvitnemålskvote;NMBU;Poenggrense;Hovedopptak;192 810;Anvendt robotikk;Ås;TEKNO - SIVING;2020;44.3
Førstegangsvitnemålskvote;NMBU;Søkere på venteliste;Hovedopptak;192 810;Anvendt robotikk;Ås;TEKNO - SIVING;2020;8
Ordinær kvote;NMBU;Poenggrense;Hovedopptak;192 810;Anvendt robotikk;Ås;TEKNO - SIVING;2020;50
Ordinær kvote;NMBU;Søkere på venteliste;Hovedopptak;192 810;Anvendt robotikk;Ås;TEKNO - SIVING;2020;19
Førstegangsvitnemålskvote;NMBU;Poenggrense;Suppleringsopptak;192 810;Anvendt robotikk;Ås;TEKNO - SIVING;2020;44.3
Førstegangsvitnemålskvote;NMBU;Søkere på venteliste;Suppleringsopptak;192 810;Anvendt robotikk;Ås;TEKNO - SIVING;2020;5
Ordinær kvote;NMBU;Poenggrense;Suppleringsopptak;192 810;Anvendt robotikk;Ås;TEKNO - SIVING;2020;50
Ordinær kvote;NMBU;Søkere på venteliste;Suppleringsopptak;192 810;Anvendt robotikk;Ås;TEKNO - SIVING;2020;10
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 923;Arabisk språk med Midtøstens historie;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 923;Arabisk språk med Midtøstens historie;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 923;Arabisk språk med Midtøstens historie;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 923;Arabisk språk med Midtøstens historie;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 923;Arabisk språk med Midtøstens historie;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 923;Arabisk språk med Midtøstens historie;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 923;Arabisk språk med Midtøstens historie;Bergen;SPRÅK;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 923;Arabisk språk med Midtøstens historie;Bergen;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 903;Arbeids- og organisasjonspsykologi;Bergen;SAMFUNN;2020;50
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 903;Arbeids- og organisasjonspsykologi;Bergen;SAMFUNN;2020;332
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 903;Arbeids- og organisasjonspsykologi;Bergen;SAMFUNN;2020;54.8
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 903;Arbeids- og organisasjonspsykologi;Bergen;SAMFUNN;2020;567
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 903;Arbeids- og organisasjonspsykologi;Bergen;SAMFUNN;2020;49.8
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 903;Arbeids- og organisasjonspsykologi;Bergen;SAMFUNN;2020;118
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 903;Arbeids- og organisasjonspsykologi;Bergen;SAMFUNN;2020;54.7
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 903;Arbeids- og organisasjonspsykologi;Bergen;SAMFUNN;2020;241
Førstegangsvitnemålskvote;HIØ;Poenggrense;Hovedopptak;224 900;Arbeids- og velferdsfag;Fredrikstad;HELSEFAG - ANNET;2020;35.8
Førstegangsvitnemålskvote;HIØ;Søkere på venteliste;Hovedopptak;224 900;Arbeids- og velferdsfag;Fredrikstad;HELSEFAG - ANNET;2020;45
Ordinær kvote;HIØ;Poenggrense;Hovedopptak;224 900;Arbeids- og velferdsfag;Fredrikstad;HELSEFAG - ANNET;2020;45.9
Ordinær kvote;HIØ;Søkere på venteliste;Hovedopptak;224 900;Arbeids- og velferdsfag;Fredrikstad;HELSEFAG - ANNET;2020;219
Førstegangsvitnemålskvote;HIØ;Poenggrense;Suppleringsopptak;224 900;Arbeids- og velferdsfag;Fredrikstad;HELSEFAG - ANNET;2020;35.8
Førstegangsvitnemålskvote;HIØ;Søkere på venteliste;Suppleringsopptak;224 900;Arbeids- og velferdsfag;Fredrikstad;HELSEFAG - ANNET;2020;34
Ordinær kvote;HIØ;Poenggrense;Suppleringsopptak;224 900;Arbeids- og velferdsfag;Fredrikstad;HELSEFAG - ANNET;2020;45.9
Ordinær kvote;HIØ;Søkere på venteliste;Suppleringsopptak;224 900;Arbeids- og velferdsfag;Fredrikstad;HELSEFAG - ANNET;2020;151
Førstegangsvitnemålskvote;UIT;Poenggrense;Hovedopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2020;0
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Hovedopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2020;0
Ordinær kvote;UIT;Poenggrense;Hovedopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2020;0
Ordinær kvote;UIT;Søkere på venteliste;Hovedopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2020;0
Førstegangsvitnemålskvote;UIT;Poenggrense;Suppleringsopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2020;0
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Suppleringsopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2020;0
Ordinær kvote;UIT;Poenggrense;Suppleringsopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2020;0
Ordinær kvote;UIT;Søkere på venteliste;Suppleringsopptak;186 319;Arctic Adventure Tourism;Alta;REISELIV;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Hovedopptak;184 478;Arkeologi;Bergen;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Hovedopptak;184 478;Arkeologi;Bergen;HISTORIE;2020;0
Ordinær kvote;UIB;Poenggrense;Hovedopptak;184 478;Arkeologi;Bergen;HISTORIE;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Hovedopptak;184 478;Arkeologi;Bergen;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIB;Poenggrense;Suppleringsopptak;184 478;Arkeologi;Bergen;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIB;Søkere på venteliste;Suppleringsopptak;184 478;Arkeologi;Bergen;HISTORIE;2020;0
Ordinær kvote;UIB;Poenggrense;Suppleringsopptak;184 478;Arkeologi;Bergen;HISTORIE;2020;0
Ordinær kvote;UIB;Søkere på venteliste;Suppleringsopptak;184 478;Arkeologi;Bergen;HISTORIE;2020;0
Førstegangsvitnemålskvote;UIO;Poenggrense;Hovedopptak;185 478;Arkeologi;Oslo;HISTORIE;2020;40.4
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Hovedopptak;185 478;Arkeologi;Oslo;HISTORIE;2020;58
Ordinær kvote;UIO;Poenggrense;Hovedopptak;185 478;Arkeologi;Oslo;HISTORIE;2020;50.1
Ordinær kvote;UIO;Søkere på venteliste;Hovedopptak;185 478;Arkeologi;Oslo;HISTORIE;2020;198
Førstegangsvitnemålskvote;UIO;Poenggrense;Suppleringsopptak;185 478;Arkeologi;Oslo;HISTORIE;2020;40.4
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Suppleringsopptak;185 478;Arkeologi;Oslo;HISTORIE;2020;23
Ordinær kvote;UIO;Poenggrense;Suppleringsopptak;185 478;Arkeologi;Oslo;HISTORIE;2020;50.1
Ordinær kvote;UIO;Søkere på venteliste;Suppleringsopptak;185 478;Arkeologi;Oslo;HISTORIE;2020;102
